登録番号,資料名,材質＊,材質＊,材質＊,材質＊,材質＊,材質＊,材質＊,点数＊,状態＊,備考＊,収蔵場所,旧蔵者,受入年月,受入方法,収蔵場所,所蔵者,調査年月,調査者,撮影備考
ODK00001,蠅帳,木,金属,,,,,,1点,,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00002,鳥籠,木,金属,,,,,,1点,,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00003,こたつやぐら,木,,,,,,,1点,破損,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00004,燭台,金属,,,,,,,1点,,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00005,燭台,金属,,,,,,,1点,,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00006,燭台ヵ,木,,,,,,,1点,欠損,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00007,不明（蚕糸関係の道具ヵ）,金属,木,,,,,,1点,,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00008,ダルマストーブ,金属,,,,,,,1揃(2点),,資料本体文字情報のOは文字の上に横線が入る、火かき棒あり,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00009,鉄瓶,金属,,,,,,,1点,,釜掛あり,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00010,五徳,金属,,,,,,,1点,,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00011,火入れ,陶陶磁器,,,,,,,1点,,灰あり。こたつの一部ヵ。,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00012,ふわり（いとけえし）,竹,木,金属,植物繊維,,,,1点,破損（一部）,軸止めをねじで代用。台座あり（ODK00055）,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00013,糸繰枠,木,藁,,,,,,1揃(6点),欠損（1点）,わら紐で一連につなげる,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00014,糸繰枠,木,,,,,,,1点,,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00015,糸繰枠,木,植物繊維,,,,,,1点,,木綿糸ヵ巻かれている,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00016,糸繰枠,木,紙,,,,,,1揃(2点),,紙紐で一連につなげる,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00017,糸繰枠,木,植物繊維,,,,,,1点,,糸が巻かれている,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00018,糸繰枠,木,植物繊維,,,,,,1点,,糸が巻かれている,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00019,椅子,木,金属,,,,,,1点,,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00020,椅子,木,金属,,,,,,1点,,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00021,編物機,木,木,,,,,,1点,,付札2枚,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00022,壁掛け時計,木(漆),金属,合成樹脂,,,,,1揃(2点),,振り子が外れている。文字盤の数字は印刷。ゼンマイを回すネジあり。,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00023,花籠,竹,陶磁器,,,,,,1揃(2点),,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
